Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_0805_2012Metric",62.050000,-87.950000,-90.000000,top
"C2","22uF","C_0805_2012Metric",64.150000,-87.950000,-90.000000,top
"C3","22uF","C_0805_2012Metric",72.750000,-97.075000,180.000000,top
"C4","1uF","C_0603_1608Metric",61.350000,-96.875000,0.000000,top
"C5","22uF","C_0805_2012Metric",78.625000,-94.550000,180.000000,top
"C6","22uF","C_0805_2012Metric",78.650000,-96.650000,180.000000,top
"C7","22uF","C_0805_2012Metric",64.875000,-95.450000,0.000000,top
"C8","22uF","C_0805_2012Metric",62.075000,-68.175000,180.000000,top
"C9","22uF","C_0805_2012Metric",64.875000,-97.675000,0.000000,top
"C10","22uF","C_0805_2012Metric",50.600000,-85.000000,0.000000,top
"C11","100nF","C_0603_1608Metric",79.650000,-82.975000,90.000000,top
"C12","22uF","C_0805_2012Metric",91.625000,-75.300000,0.000000,top
"C13","100nF","C_0603_1608Metric",89.000000,-74.775000,90.000000,top
"C14","100nF","C_0603_1608Metric",57.625000,-75.775000,180.000000,top
"C15","22uF","C_0805_2012Metric",89.475000,-99.650000,180.000000,top
"C16","100nF","C_0603_1608Metric",89.600000,-101.450000,180.000000,top
"C17","22uF","C_0805_2012Metric",59.875000,-108.100000,0.000000,top
"C18","100nF","C_0603_1608Metric",56.025000,-108.225000,180.000000,top
"D1","STDBY","LED_0805_2012Metric",59.525000,-70.350000,180.000000,top
"D2","CHRG","LED_0805_2012Metric",59.500000,-72.425000,180.000000,top
"D3","3.3V_LED","LED_0805_2012Metric",76.350000,-98.800000,0.000000,top
"D4","5V_LED","LED_0805_2012Metric",68.650000,-96.600000,0.000000,top
"D5","MOS_EXT_DIODE","DIOM5025X231N",57.500000,-87.000000,180.000000,top
"D6","CHG_IN","DIOM5025X231N",64.550000,-83.900000,0.000000,top
"J2","PWR_GND","PinHeader_1x02_P2.54mm_Vertical",73.325000,-84.275000,90.000000,top
"J3","Pinout_ESP","PinHeader_2x13_P2.54mm_Vertical",93.475000,-95.500000,0.000000,top
"J4","BATT_IN","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",51.125000,-78.170000,-90.000000,top
"J5","TYPE-C-31-M-12","HRO_TYPE-C-31-M-12",83.000000,-67.137500,180.000000,top
"J6","CHG_IN","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",93.500000,-71.850000,90.000000,top
"J7","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",87.150000,-94.225000,90.000000,top
"J8","Pinout_SD","PinHeader_2x04_P1.27mm_Vertical",86.350000,-99.325000,-90.000000,top
"J10","RA_CS","PinHeader_1x02_P2.54mm_Vertical",56.075000,-103.975000,180.000000,top
"J12","Pinout_RA","PinHeader_2x08_P2.54mm_Vertical",48.700000,-106.025000,0.000000,top
"L1","1.5uH","L_TracoPower_TCK-047_5.2x5.8mm",68.500000,-89.550000,-90.000000,top
"L2","4.7uH","L_TracoPower_TCK-047_5.2x5.8mm",79.800000,-90.150000,-90.000000,top
