Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0805_2012Metric,62.05,-87.95,-90,top
C2,22uF,C_0805_2012Metric,64.15,-87.95,-90,top
C3,22uF,C_0805_2012Metric,72.75,-97.075,180,top
C4,1uF,C_0603_1608Metric,61.35,-96.875,0,top
C5,22uF,C_0805_2012Metric,78.625,-94.55,180,top
C6,22uF,C_0805_2012Metric,78.65,-96.65,180,top
C7,22uF,C_0805_2012Metric,64.875,-95.45,0,top
C8,22uF,C_0805_2012Metric,62.075,-68.175,180,top
C9,22uF,C_0805_2012Metric,64.875,-97.675,0,top
C10,22uF,C_0805_2012Metric,50.6,-85,0,top
C11,100nF,C_0603_1608Metric,79.65,-82.975,90,top
C12,22uF,C_0805_2012Metric,91.625,-75.3,0,top
C13,100nF,C_0603_1608Metric,89,-74.775,90,top
C14,100nF,C_0603_1608Metric,57.625,-75.775,180,top
C15,22uF,C_0805_2012Metric,89.475,-99.65,180,top
C16,100nF,C_0603_1608Metric,89.6,-101.45,180,top
C17,22uF,C_0805_2012Metric,59.875,-108.1,0,top
C18,100nF,C_0603_1608Metric,56.025,-108.225,180,top
D1,STDBY,LED_0805_2012Metric,59.525,-70.35,180,top
D2,CHRG,LED_0805_2012Metric,59.5,-72.425,180,top
D3,3.3V_LED,LED_0805_2012Metric,76.35,-98.8,0,top
D4,5V_LED,LED_0805_2012Metric,68.65,-96.6,0,top
D5,MOS_EXT_DIODE,DIOM5025X231N,57.5,-87,180,top
D6,CHG_IN,DIOM5025X231N,64.55,-83.9,0,top
J2,PWR_GND,PinHeader_1x02_P2.54mm_Vertical,73.325,-84.275,90,top
J3,Pinout_ESP,PinHeader_2x13_P2.54mm_Vertical,93.475,-95.5,0,top
J4,BATT_IN,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",51.125,-78.17,-90,top
J5,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,83,-67.1375,180,top
J6,CHG_IN,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",93.5,-71.85,90,top
J7,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,87.15,-94.225,90,top
